xml:id	chars	head	bibl
MG-1679-09_365	526	[Annonce du contenu du prochain tome] *	Mercure galant, septembre [tome 09], 1679, p. 365.
MG-1679-09e_325	1780	MG-1679-09e_325	Extraordinaire du Mercure Galant, juillet 1679, p. 325-326, 339-340.
MG-1679-10a_003	13727	[Lettre de la Lorraine Espagnolete, sur les rêjoüissance faites à Madrid, & sur la Mort de D. Jean]	Mercure galant, octobre, première partie [tome 10], 1679, p. 3-32.
MG-1679-10a_042	5276	[Prix tiré par la Compagnie des Arquebusiers de Rheims]	Mercure galant, octobre, première partie [tome 10], 1679, p. 42-54.
MG-1679-10a_058	642	[Suite de l’Avanture dit Prince Caillou]	Mercure galant, octobre, première partie [tome 10], 1679, p. 58-59.
MG-1679-10a_059	2144	Le Voyageur. Conte	Mercure galant, octobre, première partie [tome 10], 1679, p. 59-63.
MG-1679-10a_098	1726	Air nouveau	Mercure galant, octobre, première partie [tome 10], 1679, p. 98-102.
MG-1679-10a_102	1742	[Plusieurs Madrigaux contre une Vieille]	Mercure galant, octobre, première partie [tome 10], 1679, p. 102-105.
MG-1679-10a_106	5524	[Particularitez touchant le College des Nobles de Parme]	Mercure galant, octobre, première partie [tome 10], 1679, p. 106-117.
MG-1679-10a_117	2413	[Placet de l’Amour]	Mercure galant, octobre, première partie [tome 10], 1679, p. 117-122.
MG-1679-10a_122	944	Reponse à Madame D*** L'Ombre de Madame la C.D.L.S.	Mercure galant, octobre, première partie [tome 10], 1679, p. 122-124.
MG-1679-10a_124	460	[Réponse à la Difficulté proposée touchant le Pavé à la Mosaïque]	Mercure galant, octobre, première partie [tome 10], 1679, p. 124.
MG-1679-10a_125	6302	[Entrée de M. l’Archevesque de Bourges dans la Ville de ce nom]	Mercure galant, octobre, première partie [tome 10], 1679, p. 125-138.
MG-1679-10a_139	1840	[Vers sur ce sujet]	Mercure galant, octobre, première partie [tome 10], 1679, p. 139-142.
MG-1679-10a_161	1104	Madrigal	Mercure galant, octobre, première partie [tome 10], 1679, p. 161-164.
MG-1679-10a_171	1751	[Mariage de M. de Monthelon & de Mademoiselle de la Guillaumie]	Mercure galant, octobre, première partie [tome 10], 1679, p. 171-175.
MG-1679-10a_175	2307	[Billet Galant]	Mercure galant, octobre, première partie [tome 10], 1679, p. 175-180.
MG-1679-10a_180	6209	Zenobin, nouvelle	Mercure galant, octobre, première partie [tome 10], 1679, p. 180-191.
MG-1679-10a_197	10778	[Les Apparences trompeuses, Histoire]	Mercure galant, octobre, première partie [tome 10], 1679, p. 197-221.
MG-1679-10a_227	13311	[Entrée de M. de Varangeville à Venise]	Mercure galant, octobre, première partie [tome 10], 1679, p. 227-257.
MG-1679-10a_287	682	[Nouvelles Impressions du Livre touchant la Verité de la Religion Chrêtienne]	Mercure galant, octobre, première partie [tome 10], 1679, p. 287-288.
MG-1679-10a_288	14582	[Ce qui s’est fait de remarquable dans les Villes par où la Reyne d’Espagne a passé]	Mercure galant, octobre, première partie [tome 10], 1679, p. 288-321.
MG-1679-10a_321	582	Air nouveau	Mercure galant, octobre, première partie [tome 10], 1679, p. 321-322.
MG-1679-10a_348	2237	[Divertissemens préparez pour cet Hyver]	Mercure galant, octobre, première partie [tome 10], 1679, p. 348-353.
MG-1679-10a_353	854	[Annonce du contenu du tome suivant] *	Mercure galant, octobre, première partie [tome 10], 1679, p. 353-355.
MG-1679-10a_355	447	[Apostille]	Mercure galant, octobre, première partie [tome 10], 1679, p. 355.
MG-1679-10b_043	2739	MG-1679-10b_043	Mercure Galant, octobre 1679 [deuxième partie], p. 43-44, 90-91, 149-152, 181-183, 192-193, 203-204
MG-1679-11_np	807	Le libraire au lecteur	Mercure Galant, novembre 1679 [tome 12], np.
MG-1679-11_014	11556	[Voyage de M. de Guilleragues Ambassadeur pour le Roy à Constantinople]	Mercure galant, novembre [tome 12], 1679, p. 14-40.
MG-1679-11_040	1465	Air nouveau	Mercure galant, novembre [tome 12], 1679, p. 40-43.
MG-1679-11_043	3034	[Vers envoyez à un Amant qui vouloit se marier]	Mercure Galant, novembre 1679 [tome 12], p. 43-50.
MG-1679-11_050	10507	[Avanture de l’Epée]	Mercure Galant, novembre 1679 [tome 12], p. 50-73.
MG-1679-11_073	1180	[Livre nouveau]	Mercure Galant, novembre 1679 [tome 12], p. 73-75.
MG-1679-11_092	5635	[Festes données par un Cavalier d’Avignon]	Mercure galant, novembre [tome 12], 1679, p. 92-105.
MG-1679-11_120	2560	La Vache et l’Ours. Conte	Mercure Galant, novembre 1679 [tome 12], p. 120-125.
MG-1679-11_129	3334	[Dessein d’un Tableau donné au grand Bureau des Pauvres]	Mercure Galant, novembre 1679 [tome 12], p. 129-136.
MG-1679-11_159	607	Epitaphe pour la Belle Mademoiselle ***	Mercure Galant, novembre 1679 [tome 12], p. 159-160.
MG-1679-11_160	871	A Iris. Sonnet	Mercure Galant, novembre 1679 [tome 12], p. 160-162.
MG-1679-11_171	1276	Le Pigeonneau. Fable	Mercure Galant, novembre 1679 [tome 12], p. 171-174.
MG-1679-11_174	585	[Cadran galant] *	Mercure Galant, novembre 1679 [tome 12], p. 174-175.
MG-1679-11_175	6641	[L'Amant liberal, Histoire]	Mercure Galant, novembre 1679 [tome 12], p. 175-190.
MG-1679-11_213	1611	[Plusieurs Maistres donnez à Mademoiselle]	Mercure galant, novembre [tome 12], 1679, p. 213-217.
MG-1679-11_217	4426	[Galanterie en Vers]	Mercure Galant, novembre 1679 [tome 12], p. 217-226.
MG-1679-11_226	13761	[Suite du Voyage de la Reyne d’Espagne]	Mercure galant, novembre [tome 12], 1679, p. 226-257.
MG-1679-11_283	891	[Livre nouveau de M. Spon]	Mercure galant, novembre 1679 [tome 12], p. 283-285.
MG-1679-11_287	1017	[Remarque sur la langue française] *	Mercure galant, novembre 1679 [tome 12], p. 287-289.
MG-1679-11_303	1508	[Les Rubans verts. Conte]	Mercure galant, novembre 1679 [tome 12], p. 303-306.
MG-1679-11_306	2931	[Mariage de M. le Duc de la Rocheguyon, & de Mademoiselle de Louvoys]	Mercure galant, novembre [tome 12], 1679, p. 306-326.
MG-1679-11_326	798	A Monsieur le Duc de la Rocheguyon, sur son Mariage. Madrigal	Mercure galant, novembre 1679 [tome 12], p. 326-328.
MG-1679-11_328	1264	[Madame la Duchesse de Hanover régalée à Chantilly]	Mercure galant, novembre 1679 [tome 12], p. 328-331.
MG-1679-11_332	987	Chanson à boire	Mercure galant, novembre [tome 12], 1679, p. 332-334.
MG-1679-11_336	1575	[La Devineresse, Comédie]	Mercure galant, novembre [tome 12], 1679, p. 336-339.
MG-1679-11_339	472	[Explication de l’Enigme du Fard]	Mercure galant, novembre 1679 [tome 12], p. 339-340.
MG-1679-11_342	1036	[Explication de l’Enigme du Sommeil]	Mercure galant, novembre 1679 [tome 12], p. 342-344.
MG-1679-11_345	885	Enigme	Mercure galant, novembre 1679 [tome 12], p. 345-347.
MG-1679-11_347	768	Autre Enigme	Mercure galant, novembre 1679 [tome 12], p. 347-348.
MG-1679-11_348	666	[Explication de l’Enigme en figure] *	Mercure galant, novembre 1679 [tome 12], p. 348-349.
MG-1679-11_350	212	[Enigme en figure]	Mercure galant, novembre 1679 [tome 12], p. 350.
MG-1679-12_082	1416	Air à boire	Mercure galant, décembre [tome 12], 1679, p. 82-84.
MG-1679-12_105	8265	[Les Amazones dans les Isles fortunées, Opéra de Venise]	Mercure galant, décembre [tome 12], 1679, p. 105-123.
MG-1679-12_220	5655	[Nouvelles particularitez touchant le Voyage de la Reyne d’Espagne : ce qui s’est passé dans le lieu où elle a esté délivrée ; les Actes de Délivrance & de Reception ; son Voyage jusques à Burgos : & la Cerémonie de la Ratification de son Mariage]	Mercure galant, décembre [tome 12], 1679, p. 220-272. 328 fin de la relation ?
MG-1679-12_335	585	[Retour d’Italie de M. Loranzani]	Mercure galant, décembre [tome 12], 1679, p. 335-336.
MG-1679-12_336	565	Air nouveau	Mercure galant, décembre [tome 12], 1679, p. 336-337.
MG-1679-12_352	373	[Représentation de Bellérophon] [suivi de] [Statira, Piece nouvelle de M. Pradon]	Mercure galant, décembre [tome 12], 1679, p. 352-353.
MG-1679-12_353	789	[Statira, Piece nouvelle de M. Pradon]	Mercure galant, décembre [tome 12], 1679, p. 353.
MG-1679-12e_np	1234	[Avis du libraire]	Extraordinaire du Mercure Galant, Octobre 1679, Tome III, p. [I-II].
MG-1680-01a_098	1015	[Les Estrennes, Histoire]	Mercure galant, janvier [tome 1], 1680, p. 98-152.
MG-1680-01a_152	5556	[Entrée de M. l’Evesque de Munster à Munster]	Mercure galant, janvier [tome 1], 1680, p. 152-165.
MG-1680-01a_165	3145	[Reception faite à M l’Abbé de Gesvres à Bernay]	Mercure galant, janvier [tome 1], 1680, p. 165-172.
MG-1680-01a_174	1315	Air nouveau chanté à la reyne	Mercure galant, janvier [tome 1], 1680, p. 174-177.
MG-1680-01a_189	2908	[Mort de M. le Duc de Hanover]	Mercure galant, janvier [tome 1], 1680, p. 189-213.
MG-1680-01a_245	9646	[Ce qui s’est passé à Turin le jour du Sapate]	Mercure galant, janvier [tome 1], 1680, p. 245-266.
MG-1680-01a_299	300	[Mort du Sieur Guichard à Madrid]	Mercure galant, janvier [tome 1], 1680, p. 299.
MG-1680-01a_300	2629	[ Divertissements publics]	Mercure galant, janvier [tome 1], 1680, p. 300-305.
MG-1680-01a_311	1233	[Le libraire au lecteur]	Mercure galant, janvier [tome 1], 1680, p. 311-312.
MG-1680-01b_050	3525	[Le divertissement de l’Opéra de Bellérophon] * et [Cérémonies du mariage et du baptème du duc de Bourbon] *	Mercure galant, janvier, deuxième partie [tome 2], 1680, p. 50-60.
MG-1680-01b_089	9767	Relation de la Lorraine espagnolette	Mercure galant, janvier, deuxième partie [tome 2], 1680, p. 89-211.
MG-1680-02_001	4519	[Avant-propos]	Mercure galant, février [tome 3], 1680, p. 1-11.
MG-1680-02_056	809	Air nouveau	Mercure galant, février [tome 3], 1680, p. 56-57.
MG-1680-02_062	4057	[Entrée de M. Fourbin, Evesque & Comte de Beauvais, dans la Ville de ce nom]	Mercure galant, février [tome 3], 1680, p. 62-70.
MG-1680-02_070	524	[Feste de saint François de Sales à Alby] *	Mercure galant, février [tome 3], 1680, p. 70-71.
MG-1680-02_118	3078	[Réjoüissances faites à Pezenas pour le Mariage de Monsieur le Prince de Conty]	Mercure galant, février [tome 3], 1680, p. 118-124.
MG-1680-02_124	670	[Les Amazones dans les Isles Fortunées] *	Mercure galant, janvier [tome 3], 1680, p. 124-125.
MG-1680-02_164	9644	[Lettre en Prose & en Vers]	Mercure galant, janvier [tome 3], 1680, p. 164-184.
MG-1680-02_198	9231	[Grand Régal donné par son Altesse Serénissime]	Mercure galant, janvier [tome 3], 1680, p. 198-218.
MG-1680-02_218	4141	[Entrée de la Reyne d’Espagne à Madrid]	Mercure galant, janvier [tome 3], 1680, p. 218-260.
MG-1680-02_261	698	[Le Sieur Guichard à Madrid] *	Mercure galant, janvier [tome 3], 1680, p. 261-262.
MG-1680-02_283	1087	Air	Mercure galant, janvier [tome 3], 1680, p. 283.
MG-1680-02_343	1255	[Divertissemens de Paris]	Mercure galant, janvier [tome 3], 1680, p. 343-345.
MG-1680-03a_012	1388	[Tragédie representée à Malte]	Mercure galant, mars, première partie [tome 4], 1680, p. 12-15.
MG-1680-03a_015	2308	Air nouveau	Mercure galant, mars, première partie [tome 4], 1680, p. 15-20.
MG-1680-03a_076	661	[Concert de trois Basses de Viole]	Mercure galant, mars, première partie [tome 4], 1680, p. 76-77.
MG-1680-03a_120	4017	[Cavalcade faite à Naples]	Mercure galant, mars, première partie [tome 4], 1680, p. 120-135.
MG-1680-03a_197	1526	[Pastorale en maniere d’Opéra, representée à Turin]	Mercure galant, mars, première partie [tome 4], 1680, p. 197-203.
MG-1680-03a_287	531	Chaconne	Mercure galant, mars, première partie [tome 4], 1680, p. 287-288.
MG-1680-03a_296	923	[Service fait pour feu M. le Comte de Tonnerre]	Mercure galant, mars, première partie [tome 4], 1680, p. 296-299.
MG-1680-03a_299	1201	[Réjoüissances faites à Cluny]	Mercure galant, mars, première partie [tome 4], 1680, p. 299-301.
MG-1680-03a_321	778	[Maistres donnez à Madame la Dauphine]	Mercure galant, mars, première partie [tome 4], 1680, p. 321-323.
MG-1680-03a_332	564	[Agamemnon, Tragedie]	Mercure galant, mars, première partie [tome 4], 1680, p. 332-333.
MG-1680-03b_np	2315	Au lecteur	Mercure galant, mars, deuxième partie [tome 5], 1680, np.
MG-1680-03b_025	11340	[Sur le Prince Electeur à Munich] *	Mercure galant, mars, deuxième partie [tome 5], 1680, 25-88.
MG-1680-03b_088	13105	[Voyage de la Dauphine] *	Mercure galant, mars, deuxième partie [tome 5], 1680, 88-224.
MG-1680-04_034	2513	[Suite des Réjoüissances faites à Naples, pour le Mariage du Roy d’Espagne]	Mercure galant, avril [tome 5], 1680, p. 34-43.
MG-1680-04_050	619	Air nouveau	Mercure galant, avril [tome 5], 1680, p. 50-51.
MG-1680-04_051	2114	[L’avarice punie, Histoire]	Mercure galant, avril [tome 5], 1680, p. 51-76.
MG-1680-04_230	1581	[Réponse de la Dame au Cavalier]	Mercure galant, avril [tome 5], 1680, p. 230-232.
MG-1680-04_232	947	[Comédies nouvelles] *	Mercure galant, avril [tome 5], 1680, p. 230-234.
MG-1680-04_241	640	Air nouveau	Mercure galant, avril [tome 5], 1680, p. 241-242.
MG-1680-04_242	459	[Paroles à mettre en air] *	Mercure galant, avril [tome 5], 1680, p. 242-243.
MG-1680-04_254	2206	[Feste donnée par M. le Maréchal Duc de Vivonne]	Mercure galant, avril [tome 5], 1680, p. 254-261.
MG-1680-04_323	934	[Tenebres]	Mercure galant, avril [tome 5], 1680, p. 323-325.
MG-1680-05_034	502	Air Nouveau	
MG-1680-05_081	3861	[Régal donné par le Roy à Versailles]	
MG-1680-05_089	5005	[Feste de S. Quentin]	
MG-1680-05_102	888	[Monseigneur apprend à chanter]	
MG-1680-05_122	10245	[Cerémonies de l’Enterrement de M. le Duc de Hanover]	
MG-1680-05_204	1012	[Fille d’Honneur de Madame reçeuë pour occuper la premiere Place qui doit vaquer]	
MG-1680-05_276	855	[Divertissemens de Bourbon]	
MG-1680-05_295	6727	[Régal donné par Monsieur dans sa Maison de S. Cloud]	
MG-1680-06_034	600	Air Nouveau	Mercure galant, juin [tome 8], 1680, p. 57-59.
MG-1680-06_066	7653	[Les Arts, les Sciences, & les Armes employez par l’Hymenée, pour le Mariage de Monseigneur le Dauphin. Comédie]	Mercure galant, juin [tome 8], 1680, p. 66-88.
MG-1680-06_110	2081	[Galanterie faite à Crusy aupres de Tonnerre]	Mercure galant, juin [tome 8], 1680, p. 110-114.
MG-1680-06_209	709	[Air] *	Mercure galant, juin [tome 8], 1680, p. 209-210.
MG-1680-06_210	960	[Mort de M. Emery de Provence]	Mercure galant, juin [tome 8], 1680, p. 210-212.
MG-1680-06_249	469	[Tout ce qui s’est passé à Fontainebleau]	Mercure galant, juin [tome 8], 1680, p. 249-254 [extrait p. 249-251].
MG-1680-06_301	1907	[Mariage de M. Feuret avec Madame Doriau]	Mercure galant, juin [tome 8], 1680, p. 301-305.
MG-1680-06e_191	2166	De l’Origine de la Danse	Extraordinaire du Mercure galant, quartier d’avril [tome 10], 1680, p. 191-194.
MG-1680-06e_239	3440	Lequel des cinq Sens contribüe le plus à la satisfaction de l’Homme.	Extraordinaire du Mercure galant, quartier d’avril [tome 10], 1680, p. 239-267.
MG-1680-06e_274	21293	De l’origine de la Danse, de ceux qui l’ont inventée, & de ses diférentes especes.	Extraordinaire du Mercure galant, quartier d’avril [tome 10], 1680, p. 274-309.
MG-1680-07_155	486	Air nouveau	Mercure galant, juillet [tome 8], 1680, p. 155-156.
MG-1680-07_156	303	Paroles à mettre en air	Mercure galant, juillet [tome 8], 1680, p. 155-157.
MG-1680-07_157	2780	[Concert fait à Dijon chez M. de Malateste Conseiller au Parlement]	Mercure galant, juillet [tome 8], 1680, p. 157-163.
MG-1680-07_185	2581	[Relation d’Alep]	Mercure galant, juillet [tome 8], 1680, p. 185-209 [extrait p. 185-193].
MG-1680-07_224	3154	[Envoyé de Sa Majesté]	Mercure galant, juillet [tome 8], 1680, p. 224-240.
MG-1680-07_250	1896	[Feste de l’Inquisition faite à Madrid]	Mercure galant, juillet [tome 8], 1680, p. 250-272.
MG-1680-07_298	716	Air nouveau	Mercure galant, juillet [tome 8], 1680, p. 298-299.
MG-1680-07_313	1314	[Depart du Roy de Fontainebleau, avec la suite de son Voyage]	Mercure galant, juillet [tome 8], 1680, p. 313-342.
MG-1680-07_342	835	[Madame l’Abbesse de S. Dizier fait faire un Service pour feu M. L’Evesque de Châlons]	Mercure galant, juillet [tome 8], 1680, p. 342-343.
MG-1680-08_008	1748	[Sapate]	Mercure galant, août [tome 9], 1680, p. 8-23.
MG-1680-08_070	2907	[Histoire]	Mercure galant, août [tome 9], 1680, p. 70-103.
MG-1680-08_103	737	Air à Boire	Mercure galant, août [tome 9], 1680, p. 103-104.
MG-1680-08_128	1733	[Le Musicien Medecin]	Mercure galant, août [tome 9], 1680, p. 128-131.
MG-1680-08_137	686	[Sacre de M. le Coadjuteur de Roüen]	Mercure galant, août [tome 9], 1680, p. 137-141.
MG-1680-08_173	676	[Nouvelles de Malte]	Mercure galant, août [tome 9], 1680, p. 173-184.
MG-1680-08_203	1242	[Mort de M. le Duc d’Usés]	Mercure galant, août [tome 9], 1680, p. 203-216.
MG-1680-08_267	501	[Ce qui s’est passé à la Majorité de l’Electeur de Baviere]	Mercure galant, août [tome 9], 1680, p. 267-271.
MG-1680-08_280	5109	[Ce qui s’est passé à l’Académie Françoise le jour de S. Loüis]	Mercure galant, août [tome 9], 1680, p. 280-293.
MG-1680-08_305	2528	[Ce qui s’est passé à la Tragédie representée au College de Clermont]	Mercure galant, août [tome 9], 1680, p. 305-312.
MG-1680-08_312	563	Air nouveau	Mercure galant, août [tome 9], 1680, p. 312-313.
MG-1680-08_332	474	[Jonction des deux Troupes de Comédiens François]	Mercure galant, août [tome 9], 1680, p. 332-333.
MG-1680-09a_151	3669	[Tout ce qui s’est passé à Rome touchant la Reception faite à M. le Prince de Radzevill Ambassadeur d’Obedience de Pologne]	Mercure galant, septembre, première partie [tome 11], 1680, p. 151-182.
MG-1680-09a_186	1031	[Nouvelles Compagnies nommées Soldats Gardiens des Vaisseaux]	Mercure galant, septembre, première partie [tome 11], 1680, p. 186-190.
MG-1680-09a_190	1258	[Prise de possession de l’Archevesché de Roüen]	Mercure galant, septembre, première partie [tome 11], 1680, p. 190-203.
MG-1680-09a_215	483	Air nouveau	Mercure galant, septembre, première partie [tome 11], 1680, p. 215.
MG-1680-09a_219	519	[Mort de trois Musiciens du Roy, d’un Musicien de l’Opéra]	Mercure galant, septembre, première partie [tome 11], 1680, p. 219-220.
MG-1680-09a_220	1053	[Honneurs Funebres rendus à la memoire de M. d’Evreux]	Mercure galant, septembre, première partie [tome 11], 1680, p. 220-224.
MG-1680-09a_224	1323	[Mariage de M. de Sayve Président à Mortier au Parlement de Grenoble]	Mercure galant, septembre, première partie [tome 11], 1680, p. 224-229.
MG-1680-09a_229	622	[Mariage de Mademoiselle de la Tour Vidaud] *	Mercure galant, septembre, première partie [tome 11], 1680, p. 229-232.
MG-1680-09a_238	532	[Cerémonies faites à la Benediction de Madame l’Abbesse de Chelles]	Mercure galant, septembre, première partie [tome 11], 1680, p. 238-252.
MG-1680-09a_252	1468	[Feste de S. Loüis solemnisée par M. de l’Académie de Villefranche]	Mercure galant, septembre, première partie [tome 11], 1680, p. 252-257.
MG-1680-09a_257	1337	[Reception faite à Mayenne au General des Capucins]	Mercure galant, septembre, première partie [tome 11], 1680, p. 257-259.
MG-1680-09a_319	723	[La Fille Veuve]	Mercure galant, septembre, première partie [tome 11], 1680, p. 319-326 [extrait p. 319-322].
MG-1680-09a_341	323	Air nouveau	Mercure galant, septembre, première partie [tome 11], 1680, p. 341.
MG-1680-09a_346	87	[Divertissements] *	Mercure galant, septembre, première partie [tome 11], 1680, p. 346.
MG-1680-09b_129	1061	MG-1680-09b_129	Mercure galant, septembre, deuxième partie [tome 12], 1680, p. 129-142.
MG-1680-09b_151	558	MG-1680-09b_151	Mercure galant, septembre, deuxième partie [tome 12], 1680, p. 151-152.
MG-1680-09b_238	464	MG-1680-09b_238	Mercure galant, septembre, deuxième partie [tome 12], 1680, p. 238-239.
MG-1680-09e_003	26333	Quelle est l’origine de la dance	Extraordinaire du Mercure galant, quartier de juillet [tome 11], 1680, p. 3-44.
MG-1680-09e_062	11529	De l’origine de la Dance	Extraordinaire du Mercure galant, quartier de juillet [tome 11], 1680, p. 62-79.
MG-1680-09e_240	22663	De l’origine de l’harmonie	Extraordinaire du Mercure galant, quartier de juillet [tome 11], 1680, p. 240-275.
MG-1680-10_029	2576	[Régal donné à Chastillon sur Seine]	Mercure galant, octobre [tome 13], 1680, p. 29-38.
MG-1680-10_189	602	Air Nouveau	Mercure galant, octobre [tome 13], 1680, p. 189-190.
MG-1680-10_190	4759	[Magnificences faites à la Reception d’un Medecin de Montpellier]	Mercure galant, octobre [tome 13], 1680, p. 190-208.
MG-1680-10_279	1056	[Préparation du Triomphe de l’Amour] *	Mercure galant, octobre [tome 13], 1680, p. 279-281.
MG-1680-10_281	4241	[Entrée de M. Gombaut Envoyé Extraordinaire du Roy à la Cour de M. le Landgrave de Hesse-Cassel]	Mercure galant, octobre [tome 13], 1680, p. 281-307 [extraits p. 281-282, 290-305].
MG-1680-10_333	1195	Le Bavolet	Mercure galant, octobre [tome 13], 1680, p. 333-335.
MG-1680-10_335	700	[Tragédie nouvelle]	Mercure galant, octobre [tome 13], 1680, p. 335-337.
MG-1680-11_026	3432	[Lettre en Prose & en Vers, touchant une Chasse aussi singuliere que galante, faite à Auxerre le jour de la S. Hubert]	Mercure galant, novembre [tome 14], 1680, p. 26-39.
MG-1680-11_045	1125	Chanson	Mercure galant, novembre [tome 14], 1680, p. 45-47.
MG-1680-11_065	937	[Ce qui s’est passé par les Académistes de l’Académie de Bernardi, touchant le Fort qu’ils attaquent tous les ans.]	Mercure galant, novembre [tome 14], 1680, p. 65-79 [extrait p. 65-66].
MG-1680-11_079	1043	[Lettre d’une Dame qui écrit les Avantures de son Amie]	Mercure galant, novembre [tome 14], 1680, p. 79-122 [extraits p. 79-86].
MG-1680-11_191	1963	[Opéra de Proserpine]	Mercure galant, novembre [tome 14], 1680, p. 191-195.
MG-1680-11_195	238	[Les fous divertissans]	
MG-1680-11_234	490	Air nouveau	Mercure galant, novembre [tome 14], 1680, p. 234-235.
MG-1680-11_235	3303	[Réjoüissances faites à Hanover, à l’occasion du Serment de fidélité que les Etats du Païs ont presté au Duc de ce nom]	Mercure galant, novembre [tome 14], 1680, p. 235-247.
MG-1680-11_247	2565	[Lettre d’un Gentilhomme Allemand, contenant la Reception du Prince d’Orange à la Cour de Hanover]	Mercure galant, novembre [tome 14], 1680, p. 247-261.
MG-1680-12_053	3842	[Vers pour un Concert]	Mercure galant, décembre [tome 15], 1680, p. 53-62.
MG-1680-12_082	517	Air Nouveau	Mercure galant, décembre [tome 15], 1680, p. 82.
MG-1680-12_083	1317	Excuse d’infidelité, par echo	Mercure galant, décembre [tome 15], 1680, p. 83-87.
MG-1680-12_137	2534	[Audience donnée à M. de Guilleragues par le Grand-Vizir]	Mercure galant, décembre [tome 15], 1680, p. 137-148.
MG-1680-12_277	630	Air Nouveau	Mercure galant, décembre [tome 15], 1680, p. 277-278.
MG-1680-12_315	5837	[Divertissemens publics]	Mercure galant, décembre [tome 15], 1680, p. 315-328.
MG-1680-12e_056	15995	MG-1680-12e_056	Extraordinaire du Mercure galant, quartier d’octobre [tome 12], 1680, p. 56-81.
MG-1680-12e_312	24754	MG-1680-12e_312	Extraordinaire du Mercure galant, quartier d’octobre [tome 12], 1680, p. 312-350.
MG-1681-01_1	4223	[Avant-propos]	Mercure Galant, janvier 1681 [tome 1], p. 1-10.
MG-1681-01_25	1512	[Madrigaux sur le Procès qu’il a plû au Roy de perdre]	Mercure Galant, janvier 1681 [tome 1], p. 25-28.
MG-1681-01_50	8569	[Discours de M. de Launay à l’ouverture des Leçons du Droit François]	Mercure Galant, janvier 1681 [tome 1], p. 50-68.
MG-1681-01_68	4009	[Lettre de Rome, dans laquelle on voit un Panégyrique du Roy en Vers]	Mercure Galant, janvier 1681 [tome 1], p. 68-76.
MG-1681-01_76	3287	[Eloge du Cavalier Bernin]	Mercure Galant, janvier 1681 [tome 1], p. 76-83.
MG-1681-01_83	856	[Sonnet, dans lequel on fait parler le Cavalier Bernin]	Mercure Galant, janvier 1681 [tome 1], p. 83-85.
MG-1681-01_91	665	[Mort de M. de Patru, Doyen de l’Académie Françoise]	Mercure Galant, janvier 1681 [tome 1], p. 91-92.
MG-1681-01_93	2663	[Stances de la Comete, parlant à Paris]	Mercure Galant, janvier 1681 [tome 1], p. 93-98.
MG-1681-01_98	625	[Madrigal sur la Comete]	Mercure Galant, janvier 1681 [tome 1], p. 98-99.
MG-1681-01_99	19898	[Discours sur les Cometes, par lequel il est prouvé qu’elles ne prédisent aucun malheur]	Mercure Galant, janvier 1681 [tome 1], p. 99-144.
MG-1681-01_169	808	Air nouveau	Mercure Galant, janvier 1681 [tome 1], p. 169-171.
MG-1681-01_171	749	[Madrigal]	Mercure Galant, janvier 1681 [tome 1], p. 171-173.
MG-1681-01_173	748	Etrennes.	Mercure Galant, janvier 1681 [tome 1], p. 173-174.
MG-1681-01_174	1329	[Madrigaux mis au devant de plusieurs autres]	Mercure Galant, janvier 1681 [tome 1], p. 174-177.
MG-1681-01_189	13994	Histoire de mon Cœur	Mercure Galant, janvier 1681 [tome 1], p. 189-219.
MG-1681-01_220	4612	[Reception de plusieurs Académiciens en l’Académie Royale d’Arles]	Mercure Galant, janvier 1681 [tome 1], p. 220-229.
MG-1681-01_229	4023	Lettre de madame de *** à Mr Guyonnet de Vertron, de l’Académie d’Arles	Mercure Galant, janvier 1681 [tome 1], p. 229-238.
MG-1681-01_238	1859	A Mr le Duc de S. Aignan. L’Ingratitude necessaire. Madrigal	Mercure Galant, janvier 1681 [tome 1], p. 238-242.
MG-1681-01_242	321	[Madrigal]*	Mercure Galant, janvier 1681 [tome 1], p. 242.
MG-1681-01_243	1030	[Sonnet]	Mercure Galant, janvier 1681 [tome 1], p. 243-245.
MG-1681-01_245	435	[Chanson]	Mercure Galant, janvier 1681 [tome 1], p. 245-246.
MG-1681-01_246a	311	[Mort de M. Langeais]*	Mercure Galant, janvier 1681 [tome 1], p. 246.
MG-1681-01_246b	709	[Air]*	Mercure Galant, janvier 1681 [tome 1], p. 246-248.
MG-1681-01_261	1638	[Lettre en Prose & en Vers, au Mercure Galant]	Mercure Galant, janvier 1681 [tome 1], p. 261-265.
MG-1681-01_284	5072	[Divertissemens de S. Germain]	Mercure Galant, janvier 1681 [tome 1], p. 284-294.
MG-1681-01_295	1143	[Arlequin Mercure Galant]	Mercure Galant, janvier 1681 [tome 1], p. 295-297.
MG-1681-01_297	675	[Zaïde, Princesse de Grenade]	Mercure Galant, janvier 1681 [tome 1], p. 297-298.
MG-1681-01_298	238	[La Pierre Philosophale]	Mercure Galant, janvier 1681 [tome 1], p. 298-299.
MG-1681-01_301	858	[Explication de la premiere Enigme en Vers]	Mercure Galant, janvier 1681 [tome 1], p. 301-303.
MG-1681-01_303	1297	[Explication de la seconde Enigme]	Mercure Galant, janvier 1681 [tome 1], p. 303-306.
MG-1681-01_306	658	[Enigme]	Mercure Galant, janvier 1681 [tome 1], p. 306-307.
MG-1681-01_307	954	Autre Enigme.	Mercure Galant, janvier 1681 [tome 1], p. [307-309].
MG-1681-01_328	442	[Petite Comédie de la Comete]	Mercure Galant, janvier 1681 [tome 1], p. 328.
