xml:id	chars	head	bibl
MG-1673-02_076	5220	[Fragmens d’une Comedie contre les Nouvellistes]	Le Mercure Galant, tome II [mai-juillet 1672], 1673, p. 76-86.
MG-1673-02_091	2005	[Pompe Funèbre de Madame la duchesse Doüairiere d’Orleans faite à S. Denys]	Le Mercure Galant, tome II [mai-juillet 1672], 1673, p. 91-96.
MG-1673-02_097	5517	[Lettre d’un Gentilhomme touchant plusieurs choses remarquables qu’un de ses Amis qui a voyagé par tout le monde en a rapporté]	Le Mercure Galant, tome II [mai-juillet 1672], 1673, p. 97-111.
MG-1673-02_100	825	[Suite des Fragmens d’une Comedie contre les Nouvellistes] *	Le Mercure Galant, tome II [mai-juillet 1672], 1673, p. 100-101.
MG-1673-02_119	3667	[Suite des Fragmens de la Comedie contre les Nouvellistes, où l’on voit tous les termes extraordinaires dont se servent ces Messieurs]	Le Mercure Galant, tome II [mai-juillet 1672], 1673, p. 119-126.
MG-1673-02_126	305	[Mort de Monsieur Godeau Evesque de Vence]	Le Mercure Galant, tome II [mai-juillet 1672], 1673, p. 126-127.
MG-1673-02_127	605	[Mariage & mort de Monsieur la Mothe le Vayer]	Le Mercure Galant, tome II [mai-juillet 1672], 1673, p. 127-128.
MG-1673-02_147	2377	Extrait d’une Lettre du Camp de Viseyt	Le Mercure Galant, tome II [mai-juillet 1672], 1673, p. 147-152.
MG-1673-02_152	4451	Extrait d’une Lettre écrite de Liege	Le Mercure Galant, tome II [mai-juillet 1672], 1673, p. 152-162.
MG-1673-02_168	7642	Histoire du Val de Gallie ou de l’Enfant Ingrat	Le Mercure Galant, tome II [mai-juillet 1672], 1673, p. 168-185.
MG-1673-02_201	2105	Extrait d’une Lettre de Liege	Le Mercure Galant, tome II [mai-juillet 1672], 1673, p. 201-205.
MG-1672-02_247	956	[L’Entrée de Monsieur le Nonce à Paris]	Le Mercure Galant, tome II [mai-juillet 1672], 1673, p. 247-249.
MG-1673-02_275	579	[Commentaire sur la Gazette] *	Le Mercure Galant, tome II [mai-juillet 1672], 1673, p. 275-276.
MG-1673-02_314	739	[L’Académie Françoise prend possession d’une des Salles du Louvre, pour y tenir desormais toute ses Assemblées]	Le Mercure Galant, tome II [mai-juillet 1672], 1673, p. 314-315.
MG-1673-02_317	5552	[Lettre d’un grand Seigneur de la Cour, touchant la prise d’Arnhem] *	Le Mercure Galant, tome II [mai-juillet 1672], 1673, p. 317-338.
MG-1673-03_001	5660	[Suite de la Comedie contre les Nouvellistes]	Le Mercure Galant, tome III [juillet-août 1672], 1673, p. 1-13.
MG-1673-03_047	541	[Remarque pleine d’esprit de celuy qui fait la Gazette de Hollande, à l’avantage du Roy]	Le Mercure Galant, tome III [juillet-août 1672], 1673, p. 47-48.
MG-1673-03_080	10285	Lettres Patantes ou Reglement sur les Revenus du Parnasse, en faveur des Conquestes de l’Invincible Louis XIV	Le Mercure Galant, tome III [juillet-août 1672], 1673, p. 80-104.
MG-1673-03_104	9638	[Suite de la Comedie des Nouvellistes]	Le Mercure Galant, tome III [juillet-août 1672], 1673, p. 104-126.
MG-1673-03_151	848	[Particularitez de la prise de Grave]	Le Mercure Galant, tome III [juillet-août 1672], 1673, p. 151-154.
MG-1673-03_161	13146	[La description & l’explication de la Medaille que les Hollandois firent en mil six cens soixante-huit]	Le Mercure Galant, tome III [juillet-août 1672], 1673, p. 161-193.
MG-1673-03_194	2043	[Sur les proverbes] *	Le Mercure Galant, tome III [juillet-août 1672], 1673, p. 194-199.
MG-1673-03_205	6721	Histoire des onze Esclaves François	Le Mercure Galant, tome III [juillet-août 1672], 1673, p. 205-220.
MG-1673-03_265	7121	Lettre de Nimegue du 10 Juillet	Le Mercure Galant, tome III [juillet-août 1672], 1673, p. 265-279.
MG-1673-03_317	1343	[Conversation sur toutes les Modes]	Le Mercure Galant, tome III [juillet-août 1672], 1673, p. 317-322.
MG-1673-03_329	3316	[Satyre des Nouvellistes contre eux-mesmes]	Le Mercure Galant, tome III [juillet-août 1672], 1673, p. 329-336.
MG-1673-03_337	7864	[Conversation sur les Opera & sur la Musique. Remarques sur ce sujet]	Le Mercure Galant, tome III [juillet-août 1672], 1673, p. 337-354.
MG-1673-03_368	5271	[Conversation sur tous les Divertissemens de cet Hyver]	Le Mercure Galant, tome III [juillet-août 1672], 1673, p. 368-376.
